n,energy
100000000000327,10005464.38806862
100000000000328,10005461.99902859
100000000000329,10005463.05186897
100000000000330,10005462.97271534
100000000000331,10005464.39052202
100000000000332,10005461.22236146
100000000000333,10005467.12844071
100000000000334,10005467.41769019
100000000000335,10005468.66605760
100000000000336,10005469.38967159
100000000000337,10005473.91923079
100000000000338,10005471.18849220
100000000000339,10005472.27336101
100000000000340,10005468.41663753
100000000000341,10005470.48908082
100000000000342,10005472.09723451
100000000000343,10005473.54736968
100000000000344,10005469.07975161
100000000000345,10005474.34869404
100000000000346,10005474.82426519
100000000000347,10005474.72590474
100000000000348,10005471.18572906
100000000000349,10005470.97000618
100000000000350,10005467.10133604
100000000000351,10005471.59512871
100000000000352,10005472.26026573
100000000000353,10005476.21564860
100000000000354,10005477.12530709
100000000000355,10005478.17351733
100000000000356,10005474.90210998
100000000000357,10005480.99635391
100000000000358,10005479.83827003
100000000000359,10005476.82846995
100000000000360,10005472.31371086
100000000000361,10005474.06755264
100000000000362,10005472.47455831
100000000000363,10005476.58628991
100000000000364,10005474.46634001
100000000000365,10005475.80303818
100000000000366,10005475.41121865
100000000000367,10005475.12551935
100000000000368,10005469.70917151
100000000000369,10005475.17206830
100000000000370,10005478.06443444
100000000000371,10005483.22359644
100000000000372,10005486.03149332
100000000000373,10005489.65539911
100000000000374,10005484.86557887
100000000000375,10005485.05519971
100000000000376,10005481.48125133
100000000000377,10005483.11834525
100000000000378,10005482.50297141
100000000000379,10005481.03070622
100000000000380,10005474.58871403
100000000000381,10005479.03852314
100000000000382,10005479.04902635
100000000000383,10005479.00266572
100000000000384,10005477.45866491
100000000000385,10005481.70635044
100000000000386,10005482.72097439
100000000000387,10005489.40097386
100000000000388,10005488.52146847
100000000000389,10005489.16136793
100000000000390,10005487.49654934
100000000000391,10005487.15389646
100000000000392,10005482.45808562
100000000000393,10005486.67703759
100000000000394,10005484.43466141
100000000000395,10005482.07819791
100000000000396,10005478.70428311
100000000000397,10005479.69255740
100000000000398,10005474.72539425
100000000000399,10005474.74119477
100000000000400,10005470.03264571
100000000000401,10005470.41283859
100000000000402,10005469.14798934
100000000000403,10005467.25777009
100000000000404,10005460.34715570
100000000000405,10005465.23133964
100000000000406,10005467.62773199
100000000000407,10005470.98914933
100000000000408,10005471.17966405
100000000000409,10005473.89888579
100000000000410,10005471.69804032
100000000000411,10005476.60778410
100000000000412,10005476.55552265
100000000000413,10005478.64450539
100000000000414,10005476.53469121
100000000000415,10005473.79119707
100000000000416,10005466.90671440
100000000000417,10005470.77884300
100000000000418,10005469.56823989
100000000000419,10005468.42848790
100000000000420,10005466.45283742
100000000000421,10005469.88545374
100000000000422,10005468.29841509
100000000000423,10005471.19008358
100000000000424,10005467.97293136
100000000000425,10005469.51895203
100000000000426,10005470.63021788
100000000000427,10005471.72563413
100000000000428,10005465.60972795
100000000000429,10005467.18704344
100000000000430,10005463.71743097
100000000000431,10005462.35535778
100000000000432,10005461.07925783
100000000000433,10005464.32513380
100000000000434,10005461.99706872
100000000000435,10005465.05030493
100000000000436,10005462.31659371
100000000000437,10005461.91741125
100000000000438,10005457.60804303
100000000000439,10005453.19667229
100000000000440,10005446.52908228
100000000000441,10005453.66315996
100000000000442,10005457.58468669
100000000000443,10005460.21905708
100000000000444,10005458.44848003
100000000000445,10005459.64533288
100000000000446,10005456.45790867
100000000000447,10005459.94509319
100000000000448,10005458.29094279
100000000000449,10005460.64257530
100000000000450,10005462.21533456
100000000000451,10005465.47717984
100000000000452,10005464.08189969
100000000000453,10005471.22599105
100000000000454,10005471.67696798
100000000000455,10005471.71289301
100000000000456,10005470.09280422
100000000000457,10005471.94262967
100000000000458,10005467.18286373
100000000000459,10005467.52156746
100000000000460,10005464.10197572
100000000000461,10005467.03020370
100000000000462,10005468.97973798
100000000000463,10005469.76754849
100000000000464,10005463.90636288
100000000000465,10005467.88752837
100000000000466,10005467.99788870
100000000000467,10005468.67539929
100000000000468,10005466.49311776
100000000000469,10005467.22080510
100000000000470,10005463.07719736
100000000000471,10005465.97006613
100000000000472,10005464.35695724
100000000000473,10005466.36750099
100000000000474,10005466.47225570
100000000000475,10005468.08294510
100000000000476,10005466.40067205
100000000000477,10005474.51419715
100000000000478,10005475.30117874
100000000000479,10005473.90111185
100000000000480,10005470.56242384
100000000000481,10005472.96753824
100000000000482,10005471.37604849
100000000000483,10005474.80456495
100000000000484,10005471.52724163
100000000000485,10005471.67921667
100000000000486,10005470.50993337
100000000000487,10005469.93008096
100000000000488,10005464.24781273
100000000000489,10005468.68075405
100000000000490,10005469.15031096
100000000000491,10005470.52937808
100000000000492,10005469.04659385
100000000000493,10005469.17285493
100000000000494,10005462.76980746
100000000000495,10005463.53744260
100000000000496,10005462.14366217
100000000000497,10005466.49385183
100000000000498,10005468.23786961
100000000000499,10005468.54116565
100000000000500,10005463.70787126
100000000000501,10005470.21235391
100000000000502,10005472.97517087
100000000000503,10005475.99421762
100000000000504,10005476.98732126
100000000000505,10005482.43231205
100000000000506,10005482.97459110
100000000000507,10005487.79463659
100000000000508,10005484.33152431
100000000000509,10005482.32827196
100000000000510,10005478.36896683
100000000000511,10005476.23853462
100000000000512,10005470.34891831
100000000000513,10005474.12428563
100000000000514,10005472.36682446
100000000000515,10005471.43518103
100000000000516,10005470.13453056
100000000000517,10005473.33831672
100000000000518,10005470.30552080
100000000000519,10005471.92754388
100000000000520,10005468.86186806
100000000000521,10005471.39131094
100000000000522,10005472.88982286
100000000000523,10005473.83742262
100000000000524,10005468.80465543
100000000000525,10005473.63447608
100000000000526,10005473.76484230
100000000000527,10005473.34871132
100000000000528,10005469.65544128
100000000000529,10005469.80177228
100000000000530,10005467.07319797
100000000000531,10005473.27317236
100000000000532,10005475.42059505
100000000000533,10005479.65105482
100000000000534,10005479.14564493
100000000000535,10005477.62419953
100000000000536,10005472.07765859
100000000000537,10005477.77859197
100000000000538,10005478.83789528
100000000000539,10005479.97971741
100000000000540,10005479.79294977
100000000000541,10005484.24873067
100000000000542,10005482.96775973
100000000000543,10005485.67546542
100000000000544,10005481.98396714
100000000000545,10005482.86672715
100000000000546,10005483.24418332
100000000000547,10005483.83220842
100000000000548,10005477.91364130
100000000000549,10005480.81351823
100000000000550,10005479.80994446
100000000000551,10005481.49620489
100000000000552,10005482.89830687
100000000000553,10005487.60996307
100000000000554,10005485.31755285
100000000000555,10005487.55818315
100000000000556,10005484.22991094
100000000000557,10005484.37667172
100000000000558,10005481.99120019
100000000000559,10005480.33403835
100000000000560,10005476.32033022
100000000000561,10005485.32066430
100000000000562,10005490.30115975
100000000000563,10005493.77712946
100000000000564,10005493.34599839
100000000000565,10005496.65642765
100000000000566,10005495.94008123
100000000000567,10005501.36811655
100000000000568,10005500.30197245
100000000000569,10005501.62173729
100000000000570,10005500.97403901
100000000000571,10005501.70458659
100000000000572,10005498.35592646
100000000000573,10005504.69600425
100000000000574,10005505.68204859
100000000000575,10005507.53383755
100000000000576,10005508.84012166
100000000000577,10005514.44258953
100000000000578,10005513.76188673
100000000000579,10005517.76519793
100000000000580,10005516.80906646
100000000000581,10005520.54049643
100000000000582,10005521.81848503
100000000000583,10005521.28787759
100000000000584,10005514.53243049
100000000000585,10005518.76391174
100000000000586,10005520.22123013
100000000000587,10005522.57125550
100000000000588,10005521.39166700
100000000000589,10005521.86670819
100000000000590,10005516.38925710
100000000000591,10005517.63315337
100000000000592,10005514.84636902
100000000000593,10005516.39606543
100000000000594,10005516.24468558
100000000000595,10005516.87027138
100000000000596,10005512.72771574
100000000000597,10005516.84429632
100000000000598,10005512.78819477
100000000000599,10005506.76465824
100000000000600,10005499.91638820
100000000000601,10005500.28545547
100000000000602,10005497.96351724
100000000000603,10005501.56225223
100000000000604,10005499.02654835
100000000000605,10005500.35055411
100000000000606,10005500.72150985
100000000000607,10005501.90221692
100000000000608,10005497.94214194
100000000000609,10005503.85034150
100000000000610,10005505.59214968
100000000000611,10005508.36858897
100000000000612,10005508.79225716
100000000000613,10005511.41775690
100000000000614,10005507.67893192
100000000000615,10005510.47406178
100000000000616,10005509.74107146
100000000000617,10005513.19550187
100000000000618,10005512.99060339
100000000000619,10005511.18539621
100000000000620,10005504.78682239
100000000000621,10005510.31396068
100000000000622,10005512.05634607
100000000000623,10005513.17536847
100000000000624,10005511.00506803
100000000000625,10005512.49737747
100000000000626,10005509.49912773
100000000000627,10005512.52124762
100000000000628,10005509.76677152
100000000000629,10005510.80479279
100000000000630,10005511.25609956
100000000000631,10005513.68117931
100000000000632,10005511.56036163
100000000000633,10005517.94534736
100000000000634,10005517.73021787
100000000000635,10005517.54929612
100000000000636,10005516.45575216
100000000000637,10005519.53073924
100000000000638,10005516.30986064
100000000000639,10005518.07230675
100000000000640,10005515.83331082
100000000000641,10005519.95105562
100000000000642,10005523.44069498
100000000000643,10005526.11105037
100000000000644,10005521.91654091
100000000000645,10005526.51541384
100000000000646,10005525.69687990
100000000000647,10005524.22826270
100000000000648,10005519.77796233
100000000000649,10005519.30727336
100000000000650,10005515.46378780
100000000000651,10005519.40273417
100000000000652,10005518.04877907
100000000000653,10005518.25284532
100000000000654,10005514.45614281
100000000000655,10005511.53494808
100000000000656,10005506.90354868
100000000000657,10005515.31314968
100000000000658,10005519.74048214
100000000000659,10005523.81094559
100000000000660,10005525.59681252
100000000000661,10005531.25749806
100000000000662,10005530.98547721
100000000000663,10005534.96596565
100000000000664,10005532.83981280
100000000000665,10005535.21902159
100000000000666,10005536.58266897
100000000000667,10005537.43938546
100000000000668,10005531.19138014
100000000000669,10005533.45847853
100000000000670,10005531.76568911
100000000000671,10005532.81365537
100000000000672,10005533.69594260
100000000000673,10005538.19443358
100000000000674,10005536.32408136
100000000000675,10005539.88502353
100000000000676,10005538.66912810
100000000000677,10005541.10329809
100000000000678,10005540.25842848
100000000000679,10005538.66195493
100000000000680,10005533.16555482
100000000000681,10005539.87042476
100000000000682,10005542.89999626
100000000000683,10005545.68870507
100000000000684,10005545.96650452
100000000000685,10005550.65525574
100000000000686,10005550.85876107
100000000000687,10005555.91482182
100000000000688,10005553.13106881
100000000000689,10005552.08674176
100000000000690,10005549.38510447
100000000000691,10005548.96681047
100000000000692,10005545.26746329
100000000000693,10005551.37376078
100000000000694,10005551.44903344
100000000000695,10005551.26616563
100000000000696,10005549.48262597
100000000000697,10005551.35254586
100000000000698,10005546.73295972
100000000000699,10005546.84488262
100000000000700,10005542.14680429
100000000000701,10005542.41099618
100000000000702,10005540.75567445
100000000000703,10005538.12925629
100000000000704,10005530.23327115
100000000000705,10005534.04933481
100000000000706,10005535.32354743
100000000000707,10005537.28530278
100000000000708,10005535.45935457
100000000000709,10005535.43404641
100000000000710,10005530.18004323
100000000000711,10005532.65434358
100000000000712,10005531.77786002
100000000000713,10005535.07938975
100000000000714,10005535.66484892
100000000000715,10005535.71215388
100000000000716,10005530.18842333
100000000000717,10005533.17715145
100000000000718,10005529.19896703
100000000000719,10005524.69019925
100000000000720,10005520.11680403
100000000000721,10005522.30256218
100000000000722,10005520.26132630
100000000000723,10005522.23488555
100000000000724,10005516.62544914
100000000000725,10005514.35723942
100000000000726,10005511.46519032
100000000000727,10005510.08377545
100000000000728,10005504.12723740
100000000000729,10005508.22304093
100000000000730,10005508.00980360
100000000000731,10005508.53956404
100000000000732,10005506.37087750
100000000000733,10005505.96679727
100000000000734,10005498.63147108
100000000000735,10005497.26311397
100000000000736,10005492.11692782
100000000000737,10005491.54192402
100000000000738,10005488.37076173
100000000000739,10005484.99238036
100000000000740,10005478.15604611
100000000000741,10005483.66381672
100000000000742,10005485.08135666
100000000000743,10005485.32412419
100000000000744,10005482.12813197
100000000000745,10005483.20175408
100000000000746,10005480.92108641
100000000000747,10005485.62370970
100000000000748,10005484.61161403
100000000000749,10005486.29862064
100000000000750,10005485.57591699
100000000000751,10005485.14721713
100000000000752,10005479.43449850
100000000000753,10005482.68829977
100000000000754,10005480.60434737
100000000000755,10005479.85999175
100000000000756,10005478.91189102
100000000000757,10005482.06695779
100000000000758,10005478.37295907
100000000000759,10005479.08255452
100000000000760,10005475.48216375
100000000000761,10005478.19164709
100000000000762,10005480.29107674
100000000000763,10005481.51450389
100000000000764,10005475.80746567
100000000000765,10005479.02329213
100000000000766,10005477.27612702
100000000000767,10005475.55326763
100000000000768,10005471.44726890
100000000000769,10005471.58312201
100000000000770,10005468.26897181
100000000000771,10005472.59133720
100000000000772,10005471.71716320
100000000000773,10005472.77237298
100000000000774,10005470.08562804
100000000000775,10005467.80269508
100000000000776,10005462.19335541
100000000000777,10005467.04319766
100000000000778,10005465.18426448
100000000000779,10005461.18793057
100000000000780,10005454.84528929
100000000000781,10005454.05287661
100000000000782,10005449.99779476
100000000000783,10005452.78273017
100000000000784,10005451.13622814
100000000000785,10005454.54919023
100000000000786,10005456.75037142
100000000000787,10005458.07150940
100000000000788,10005452.09240841
100000000000789,10005454.56612167
100000000000790,10005452.85403328
100000000000791,10005453.26004399
100000000000792,10005452.53711352
100000000000793,10005454.44385841
100000000000794,10005449.31692956
100000000000795,10005449.41578225
100000000000796,10005444.87398352
100000000000797,10005444.24913956
100000000000798,10005440.65569498
100000000000799,10005436.77542200
100000000000800,10005429.78026327
100000000000801,10005436.07147585
100000000000802,10005439.74614044
100000000000803,10005443.72108060
100000000000804,10005444.88851154
100000000000805,10005449.47232708
100000000000806,10005448.47886607
100000000000807,10005451.87403719
100000000000808,10005447.97335380
100000000000809,10005447.11450062
100000000000810,10005445.89991442
100000000000811,10005447.46726881
100000000000812,10005445.11838387
100000000000813,10005451.16529015
100000000000814,10005449.82085288
100000000000815,10005447.67961162
100000000000816,10005444.47590870
100000000000817,10005446.16608621
100000000000818,10005442.59571501
100000000000819,10005444.39658883
